,dx,ht,natr,willr,rsi,roc,mom,mfi,adxr,obv,ad,bas,macd,cci,atr,r_3,r_2,r_1,width,cmo,slowd,slowk,hl,var,mabas,mabas2,amount,close,datetime,down_count,high,low,open,percent,settle,suspend,time,up_count,vol,wd,state
2017-01-03,24.0240708112,1,1.5085256274,-57.2246065808,40.1735730712,1.58510374473,-27.65,23.9864521507,32.8309282582,22654319.0,-705756.005418,-0.00411152163233,-0.176319419117,10.1346979589,22.2454731645,1.32498380243,1.6595082435,1.07585100528,0.0975840906486,-19.6528538575,21.402045329,34.6974792054,-4.38709148565,74.5676409989,-0.0075736646362,-0.00713883836327,8809905152.0,1474.65,201701031500,0.0,1479.08,1460.74,1460.74,1.0816590923,1458.87,0,1500,24.0,64437.0,3,3
2017-01-04,21.077766381,1,1.45656719212,-40.1505646173,42.5170792489,1.38684482534,-21.53,31.5644463237,32.6197354931,22713989.0,-658261.659624,-0.00156354562876,2.08035311231,70.7213008472,21.5736536527,2.09797188974,1.51431465153,0.438463646247,0.0905696149745,-14.9658415023,37.7604666942,62.6084669997,-4.74799529068,105.363489,-0.00557029163372,-0.0079040446547,7982668288.0,1481.13,201701041500,3.0,1482.44,1469.6,1474.25,0.4394263045,1474.65,0,1500,21.0,59670.0,4,3
2017-01-05,20.70096573,1,1.40294700146,-40.8765652952,40.6766760653,1.30150353206,-5.17,33.5368471821,32.5263824987,22660954.0,-706395.735531,-0.00079737424619,3.21037723403,76.6464322529,20.6819641061,1.04397395547,-0.0318770498116,-0.470340696058,0.0827872027202,-18.6466478694,58.4203390593,77.9550709727,-5.08868227379,113.914609,-0.00397931917121,-0.00854937247002,7058494976.0,1474.18,201701051500,22.0,1482.85,1473.76,1481.99,-0.4692363263,1481.13,0,1500,2.0,53035.0,4,3
2017-01-06,29.2849052977,1,1.39539596507,-70.3655009203,36.9200552932,0.59501647844,-17.23,36.0341001748,32.7462668457,22605116.0,-761542.671175,-0.00189570511435,3.04310393192,-17.4712290654,20.3589666699,-1.06625499722,-1.50471864346,-1.0343779474,0.0699009605937,-26.1598894135,68.5438908358,65.068134535,-4.50297434942,102.309624,-0.00328478115226,-0.00920218515551,7459275776.0,1459.01,201701061500,23.0,1475.07,1458.91,1475.01,-1.0290466564,1474.18,0,1500,2.0,55838.0,1,4
2017-01-09,30.5443996723,1,1.34526094528,-57.2179858007,38.9222398524,0.352327486342,-11.87,37.798377777,33.1339472587,22648662.0,-746738.606075,-0.00186511759804,3.35174491007,-25.0326341034,19.6947547649,-1.16260638445,-0.692265688391,0.342112259013,0.0590019962575,-22.1555202952,64.7572209125,51.2484572297,-4.885599529,97.6477359999,-0.00281155996752,-0.00979694146235,5735068672.0,1464.01,201701091500,6.0,1467.66,1456.6,1459.14,0.3426981309,1459.01,0,1500,18.0,43546.0,2,4
2017-01-10,26.3377689983,1,1.303889233,-52.8267157507,39.6116805211,-0.608279930831,3.23,47.4705976771,33.4104460176,22739260.0,-750356.234548,-0.00156297594758,3.72234814387,4.95759356925,19.1108437103,-0.578260439994,0.45611750741,0.114005248397,0.0378761228014,-20.7766389578,53.1650577884,43.1785816007,-4.84598992232,83.4954159991,-0.00239536529421,-0.0103188645241,9877475328.0,1465.68,201701101500,15.0,1471.67,1460.15,1464.53,0.1140702591,1464.01,0,1500,9.0,90598.0,2,4
2017-01-11,27.4057598554,1,1.28527334907,-71.8380226137,37.6312095415,-1.53126329222,-6.83,47.4375833344,33.1425268476,22661685.0,-827931.234548,-0.00205165152227,3.53589929284,-22.7545193925,18.7450691596,-0.0383895585117,-0.380501817525,-0.494507065921,0.0328052919891,-24.737580917,45.6913193455,42.6469192063,-4.64678671825,85.7319799997,-0.0022807940369,-0.0108239202713,8982839296.0,1458.45,201701111500,20.0,1472.44,1458.45,1463.65,-0.4932863927,1465.68,0,1500,5.0,77575.0,2,4
2017-01-12,28.4182285212,1,1.25896495304,-71.9737966391,37.3889648353,-1.12604973612,-19.0,37.5979075823,32.9984875757,22592651.0,-889967.839691,-0.00228522693468,3.40789625595,-31.4603989269,18.3504213625,-0.440171987297,-0.554177235694,-0.0596701697729,0.0252865402977,-25.2220703295,40.7892654831,36.5422956423,-4.7028019708,82.0502239992,-0.00228227166949,-0.0113012347676,8298241536.0,1457.58,201701121500,15.0,1470.13,1456.91,1457.1,-0.0596523707,1458.45,0,1500,9.0,69034.0,2,4
2017-01-13,34.663158877,1,1.27811729588,-60.5204252938,39.153808862,0.151472573869,-8.95,36.7453244669,33.298317714,22669192.0,-872227.433319,-0.00189724631338,3.60328643268,-48.6994431418,18.6761055509,-0.30475953753,0.189747528392,0.249417698164,0.0239700283108,-21.692382276,37.2863947211,32.6699693149,-4.15545348574,62.2433759994,-0.00215392988412,-0.0117128025276,9780120576.0,1461.22,201701131500,7.0,1470.02,1447.11,1456.58,0.2497290029,1457.58,0,1500,17.0,76541.0,2,4
2017-01-16,45.3423611308,1,1.35961649471,-46.5787598004,37.7345725271,-0.498630473836,5.07,33.8283456925,33.893456025,22523713.0,-760013.055475,-0.00203866997503,3.46280395586,-162.660849467,19.8056694401,-0.119375966097,-0.0597057963239,-0.309123494488,0.0233741035934,-24.5308549458,36.5070903487,40.3090060889,-3.7619967479,65.5179360001,-0.00211550991442,-0.0120953159113,18817146880.0,1456.71,201701161500,10.0,1460.58,1426.73,1455.72,-0.3086461998,1461.22,0,1500,15.0,145479.0,2,4
